"","publication.title","publication.journal","publication.date","publication.doi","publication.tot_cites","publication.abstract","Assigned.to","Food.item_notes","Inputs","Inputs_notes","Production","Production_notes","Storage.Processing","Storage.Processing_notes","Distribution.domestic","Distribution.domestic_notes","International.trade","International.trade_notes","Retail.Markets","Retail.Markets_notes","Consumption","Consumption_notes","Price","Price_notes","Shock.type","Shock.type.notes","Shock.year","Propagation","Study.design","Study.design.type","Primary.outcomes.assessed","Study.location","Study.scale","Study.time.period","Eliminate","Elimination.justification","Notes","study.id","Food.item","Stop_at_prod","Study.region"
"11","Decreases in global beer supply due to extreme drought and heat","Nature Plants","11/1/18","10.1038/s41477-018-0263-1",8,"Beer is the most popular alcoholic beverage in the world by volume consumed, and yields of its main ingredient, barley, decline sharply in periods of extreme drought and heat. Although the frequency and severity of drought and heat extremes increase substantially in range of future climate scenarios by five Earth System Models, the vulnerability of beer supply to such extremes has never been assessed. We couple a process-based crop model (decision support system for agrotechnology transfer) and a global economic model (Global Trade Analysis Project model) to evaluate the effects of concurrent drought and heat extremes projected under a range of future climate scenarios. We find that these extreme events may cause substantial decreases in barley yields worldwide. Average yield losses range from 3% to 17% depending on the severity of the conditions. Decreases in the global supply of barley lead to proportionally larger decreases in barley used to make beer and ultimately result in dramatic regional decreases in beer consumption (for example, -32% in Argentina) and increases in beer prices (for example, +193% in Ireland). Although not the most concerning impact of future climate change, climate-related weather extremes may threaten the availability and economic accessibility of beer.","Jessica","","Yes","Model looks primarily at barely as an input for beer","Yes","","Yes","","No","","Yes",NA,"No","","Yes","","Yes","","Simulated drought, heat waves","","n/a","Y","Global climate model coupled with GTAP","Quantitative","Barley and beer supply and price","Global","International","","N","","Looked at preprint because I don't have access to Nature Plants (version: https://www.repository.cam.ac.uk/bitstream/handle/1810/291587/Decreases%20in%20global%20beer%20supply%20due%20to%20extreme%20drought%20and%20heat.pdf?sequence=1&isAllowed=y)",11,"Misc.","N","Multi-regional"
"12","Dirty droughts causing loss and damage in Northern Burkina Faso","International Journal of Global Warming","1/1/13","10.1504/IJGW.2013.057288",11,"Extreme droughts in the northern part of Burkina Faso are locally referred to as tundi, meaning 'dirty weather', because they severely disrupt people's livelihoods in the area. This article investigates the loss and damage from the tundi droughts that occurred in 2004 and 2010 in the Sahel Region. The study conducted field survey among households in ten villages. We found that people's reliance on transhumance has been decreasing over the last decades due to the lack of good pastures, competition over natural resources and corollary conflicts. Whereas transhumance was an effective way to deal with droughts and seasonality, decreased mobility and increased interdependence between cattle and crop production has made people more vulnerable in the event of extreme droughts. Evidences from the survey results show that the vast majority of the respondents experienced negative effects of recent tundi droughts on crops (96%) and livestock (87%). It is also found that such extreme droughts tend to have a cascading impact; they first cause a lack of water affecting seedling and crop yields, which then affects the availability of food for people and feed for livestock. This, in turn, further limits their capacity to cope with future droughts.","Jessica","","No","","Yes","","No","","No","","No",NA,"No","","Yes","","Yes","","Drought","","2004, 2010","N","Household surveys in 10 villages on livelihoods and vulnerability, the impacts of and coping with weather-related extreme events","Qualitative","Self-reported impacts on production, prices and livelihoods","northern region of Burkina Faso","Sub-national","Unclear when surveys were conducted","N","","",12,"Not specific","N","Africa"
"13","Does agricultural trade liberalization increase risks of supply-side uncertainty?: Effects of productivity shocks and export restrictions on welfare and food supply in Japan","Food Policy","6/1/11","10.1016/j.foodpol.2011.01.002",14,"Agriculture is the focus of much contention in free trade negotiations. The Japanese government is against liberalizing the rice trade on the grounds that it would threaten ""national food security"" in the events of such shocks as crop failure and embargoes. Trade liberalization is expected to make the Japanese economy more dependent upon food imports and, thus, more susceptible to these risks. Using a computable general equilibrium model with a Monte Carlo simulation, we quantify the welfare impacts of productivity shocks and export quotas by major rice exporters to Japan and found little evidence of Japan suffering from such shocks. (C) 2011 Elsevier Ltd. All rights reserved.","Jessica","","No","","No","","No","","No","","Yes",NA,"No","","No","","Yes","","Simulate a shock","","n/a","N","Computable general equilibrium model (GTAP with greater resolution in the Asia trade block)","Quantitative","Welfare","Japan","National","","N","","",13,"Maize, Wheat & Rice","N","Asia"
"14","Duration dependence and dynamic conditional covariance of seasonal food price shocks in semi-arid African countries","Food Security","6/1/12","10.1007/s12571-012-0179-y",1,"Every year in the months preceding harvests several African regions register higher malnutrition and morbidity levels, severe water shortages, and food price jumps. A previous study, focused on Niamey (Niger) with 'hunger' and 'normal' seasons modelled as a latent Markov process, found that in the last two decades the risk of food crises has tended to spread over longer periods and to shift forward in timing. To help better devise support programmes, it would be beneficial to test for this finding in other locations in Africa and extend the focus beyond conditional mean analysis. This paper first reviews measures of food insecurity/crisis risk, and considers determinants of spatial and temporal food price variability in drought-prone countries. Duration-dependent Markov-switching VAR models are then formulated and applied to monthly staple prices of food markets in Niger, Ethiopia and Somalia. This is complemented with multivariate GARCH models of volatility and dynamic correlations of food price shocks in major urban centres of five Sahel countries. In Niger, seasonal shocks in surplus-producing regions often anticipate by nearly 1 month those in deficit regions. 'Steep' regime probability switches are of concern especially in recent years. However, across semi-arid countries in East and West Africa, no systematic variation over time was detected in terms of onset and length of seasonal food insecurity periods, nor between seasons relative to food price volatility.","Jessica","Original items: Staple crops; crops listed in 'Food Item(s)' were those staple crops mentioned in the study text","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Drought","","n/a","N","Time series econometric approach","Quantitative","Seasonal impact on staple crop price","Niger, Ethiopia and Somalia","National","1990-2010","N","","Kyle requested and emailed pdf",14,"Other cereals","N","Africa"
"15","Dynamic Effects of Drought on the U.S. Beef Supply Chain","Agricultural and Resource Economics Review","12/1/16","10.1017/age.2016.4",0,"This research employs an agricultural sector model that links seasonal crop production with disaggregated livestock production sectors, in tandem with observed quarterly data on U.S. drought conditions to assess the long term economic implications of drought for U.S beef cattle producers. Short term impacts show increases in feed costs as well as increases in cattle slaughter resulting from drought-induced culling. The price of live cattle decreases in the short run; however, feed prices remain above baseline levels, and beef cattle breeding inventories decline in the long run, leading to fewer calves moving through the supply chain.","Jessica","","Yes","Crops as feed","Yes","","No","","No","","No",NA,"No","","No","","Yes","","Drought","","2011/2012","Y","Partial equilibrium model","Quantitative","Cow production","US","National","","N","","",15,"Beef","N","North America"
"16","Dynamics of the Global Wheat Trade Network and Resilience to Shocks","Scientific Reports","8/3/17","10.1038/s41598-017-07202-y",9,"Agri-food trade networks are increasingly vital to human well-being in a globalising world. Models can help us gain insights into trade network dynamics and predict how they might respond to future disturbances such as extreme weather events. Here we develop a preferential attachment (PA) network model of the global wheat trade network. We find that the PA model can replicate the time evolution of crucial wheat trade network metrics from 1986 to 2011. We use the calibrated PA model to predict the response of wheat trade network metrics to shocks of differing length and severity, including both attacks (outward edge removal on high degree nodes) and errors (outward edge removal on randomly selected nodes). We predict that the network will become less vulnerable to attacks but will continue to exhibit low resilience until 2050. Even short-term shocks strongly increase link diversity and cause long-term structural changes that influence the network's response to subsequent shocks. Attacks have a greater impact than errors. However, with repeated attacks, each attack has a lesser impact than the previous attack. We conclude that dynamic models of multi-annual, commodity-specific networks should be further developed to gain insight into possible futures of global agri-food trade networks.","Jessica","","No","","No","","No","","No","","Yes",NA,"No","","No","","No","","Simulated","","N/A","Y (propagation among countries, not along the supply chain stages)","Simulated shock with a preferential attachment model","Quantitative","Network metrics of resilience to shocks","Global","International","1986-2011","N","","",16,"Maize, Wheat & Rice","N","Multi-regional"
"17","Economy-wide impact of drought induced productivity losses","Disaster Prevention and Management","1/1/18","10.1108/DPM-05-2018-0155",0,"Purpose The purpose of this paper is to investigate how a drought which initially affects agricultural productivity can ultimately affect an entire economy. The study aims to assess the magnitude of the impact as well as highlight key issues that can inform the implementation of drought mitigation programmes. Design/methodology/approach The paper presents the literature on the economic impact of drought and uses a computable general equilibrium model where productivity shocks are applied to the agricultural industries following which the resulting impacts on the rest of the sectors of the economy are obtained. Findings The findings show that the key macroeconomic variables, namely, real GDP, industry output, employment, the trade balance and household consumption are negatively affected by the drought shock. Practical implications The results point to the fact that in the absence of drought mitigation mechanisms, the occurrence of even a short drought as modelled in this paper can impose substantial socioeconomic losses. Originality/value First, a general equilibrium framework which uses climate and economic data when evaluating the social-economic impacts of drought is used. Most studies employ partial equilibrium analysis in analysing drought impacts on specific sectors or crops within a limited geographical area. Others use global or multi-regional models which impose averages on the observed impacts. The current study provides valuable insights on the potential damage which droughts can impose on a single economy. This gives a basis for decision making to support drought mitigation policies and programmes.","Jessica","","Yes","simulated","Yes","simulated","No","","No","","Yes",NA,"Yes","","Yes","Represtented as domestic share of production","Yes","","Simulated drought","","N/A","Yes","Computable general equilibrium model","Quantitative","real GDP, industry output, employment, the trade balance and household consumption","Uganda","National","","N","","Kyle requested and emailed pdf",17,"Not specific","N","Africa"
"18","Effects of drought on child health in Marsabit District, Northern Kenya","Economics & Human Biology","2/1/17","10.1016/j.ehb.2016.10.010",2,"This study uses five years of panel data (2009-2013) for Northern Kenya's Marsabit district to analyze the levels and extent of malnutrition among children aged five and under in that area. We measure drought based on the standardized normalized difference vegetation index (NDVI) and assess its effect on child health using mid-upper arm circumference (MUAC). The results show that approximately 20 percent of the children in the study area are malnourished and a one standard deviation increase in NDVI z-score decreases the probability of child malnourishment by 12-16 percent. These findings suggest that remote sensing data can be usefully applied to develop and evaluate new interventions to reduce drought effects on child malnutrition, including better coping strategies and improved targeting of food aid. (C) 2016 Published by Elsevier B.V.","Jessica","","No","","No","","No","","No","","No",NA,"No","","No","","No","","Drought","","2009 and 2011","N","Panel analysis to look at effect of NDVI on mid-upper arm circumference","Quantitative
","Child malnutrition","Kenya","Sub-national","2009-2013","N","","",18,"Not specific","N","Africa"
"19","Effects of the 2008 flood on economic performance and food security in Yemen: a simulation analysis","Disasters","4/1/16","10.1111/disa.12147",3,"Extreme weather events such as floods and droughts can have devastating consequences for individual well being and economic development, in particular in poor societies with limited availability of coping mechanisms. Combining a dynamic computable general equilibrium model of the Yemeni economy with a household-level calorie consumption simulation model, this paper assesses the economy-wide, agricultural and food security effects of the 2008 tropical storm and flash flood that hit the Hadramout and Al-Mahrah governorates. The estimation results suggest that agricultural value added, farm household incomes and rural food security deteriorated long term in the flood-affected areas. Due to economic spillover effects, significant income losses and increases in food insecurity also occurred in areas that were unaffected by flooding. This finding suggests that while most relief efforts are typically concentrated in directly affected areas, future efforts should also consider surrounding areas and indirectly affected people.","Jessica","Original: Crops, livestock, fish","No","","Yes","","No","","No","","No",NA,"No","","Yes","","Yes","","Flood (simulated impacts based on real event)","","2008","N","Computable general equilibrium model","Quantitative","Agricultural value added, farm household incomes and rural food security","Yemen","National","","N","","",19,"Not specific","N","Middle East"
"20","El Nino Southern Oscillation and the fishmeal-soya bean meal price ratio: regime-dependent dynamics revisited","European Review of Agricultural Economics","9/1/14","10.1093/erae/jbt033",6,"The El Nino Southern Oscillation (ENSO) impacts commodity production and prices around the world. This study revisits fishmeal-soya bean meal price ratio dynamics and examines it in relation to the ENSO anomalies. A smooth transition autoregressive modelling framework is applied to assess nonlinearities in the ENSO-price ratio relationship, and generalised impulse-response functions and derived asymmetry functions are utilised to illustrate characteristic features of the estimated model dynamics. The results suggest economically meaningful impacts of ENSO on the price ratio dynamics, and indicate statistical significance of these effects for up to one year after the ENSO shocks.","Jessica","","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","El Nino/La Nina","","Multiple","N","Time series analysis","Quantitative","Price ratio between soy and fishmeal","Global","International","1982-2012","N","","",20,"Legumes & nuts","N","Multi-regional"
"21","Evacuation after the Great East Japan Earthquake was associated with poor dietary intake: The Fukushima Health Management Survey","Journal of Epidemiology","1/1/17","10.1016/j.je.2016.08.002",4,"Background: Few studies have investigated the relationship between living arrangements and dietary intake among evacuees after disasters. Objectives: To examine the relationship between living arrangements and dietary intake using the data of a large-scale cohort survey of evacuees after the Great East Japan Earthquake in 2011. Methods: 73,433 residents in evacuation zones responded to the Fukushima Health Management Survey questionnaire. Subjects were excluded if they did not report their living conditions or were missing more than three pieces of information about dietary intake. The data of 52,314 subjects (23,149 men and 29,165 women >= 15 years old) were used for the analyses. Evacuees' living arrangements were characterized into three categories: evacuation shelters or temporary housing, rental houses or apartments, or a relative's home or their own home. Dietary intake was characterized in terms of grains, fruits and vegetables, meat, soybean products, dairy products, and fish. Daily consumption of the third quartile (Q3) or higher for each food group was defined as `high consumption'. Prevalence ratios (PRs) and 95% confidence intervals (CIs) were estimated using modified Poisson regression analyses. Results: Modified Poisson regression analyses showed that, compared with respondents living in a relative's home or their own home, the PRs and 95% CIs for the people living in rental apartments of high consumption of fruits and vegetables (non-juice), meat, soybean products, and dairy products were 0.69 (95% CI, 0.61e-0.77), 0.82 (95% CI, 0.73-0.91), 0.89 (95% CI, 0.83-0.94), and 0.83 (95% CI, 0.74-0.93) respectively. The corresponding PRs and 95% CIs for people living in evacuation shelters or temporary housing were 0.83 (95% CI, 0.78-0.88), 0.90 (95% CI, 0.86-0.95), 0.94 (95% CI, 0.91-0.97), and 0.91 (95% CI, 0.86-0.96) for high consumption of fruits and vegetables (non-juice), meat, soybean products, and dairy products, respectively. Conclusion: The present study suggests that, after the earthquake, living in non-home conditions was associated with poor dietary intake of fruits and vegetables (non-juice), meat, soybean products, and dairy products and suggesting the need for early improvements in the provision of balanced meals among evacuees living in non-home conditions (S) 2016 The Authors Publishing services by Elsevier B.V. on behalf of the japan Epidermiological Association","Jessica","","No","","No","","No","","No","","No",NA,"No","","Yes","survey of dietary intake","No","","Tsunami","","2011","N","Food frequency questionaire","Qualitative","Change in dietary intake following the tsunami","Japan","Sub-national","2012","N","","",21,"Not specific","N","Asia"
