"publication.title","publication.journal","publication.date","publication.doi"
"Potential socio-economic implications of future climate change and variability for Nigerien agriculture: A countrywide dynamic CGE-Microsimulation analysis","Economic Modelling","6/1/17","10.1016/j.econmod.2017.02.005"
"Rapidly rising food prices and the experience of food insecurity in urban Ethiopia: Impacts on health and well-being","Social Science & Medicine","12/1/12","10.1016/j.socscimed.2012.09.018"
"Regional Price Effects of Extreme Weather Events and Wheat Export Controls in Russia and Ukraine","Journal of Agricultural Economics","9/1/16","10.1111/1477-9552.12167"
"Reserves and trade jointly determine exposure to food supply shocks","Environmental Research Letters","9/1/16","10.1088/1748-9326/11/9/095009"
"Residential relocation and obesity after a natural disaster: A natural experiment from the 2011 Japan Earthquake and Tsunami","Scientific Reports","1/23/19","10.1038/s41598-018-36906-y"
"Rethinking the global food crisis: The role of trade shocks","Food Policy","4/1/11","10.1016/j.foodpol.2010.10.003"
"Rising Food Prices and Coping Strategies: Household-level Evidence from Afghanistan","Journal of Development Studies","2/1/12","10.1080/00220388.2011.635422"
"Shock transmission in the International Food Trade Network","Plos One","8/8/18","10.1371/journal.pone.0200639"
"Shocks to fish production: Identification, trends, and consequences","Global Environmental Change-Human and Policy Dimensions","1/1/17","10.1016/j.gloenvcha.2016.11.003"
"Sit down at the ball game: How trade barriers make the world less food secure","Food Policy","2/1/13","10.1016/j.foodpol.2012.09.002"
"Socioeconomic impacts of floods and droughts in the middle Zambezi river basin Case of Kanyemba","International Journal of Climate Change Strategies and Management","1/1/14","10.1108/IJCCSM-03-2013-0016"
"Supplier hoarding, government intervention, and timing for post-disaster crop supply chain recovery","Transportation Research Part e-Logistics and Transportation Review","6/1/16","10.1016/j.tre.2015.09.013"
"Sustaining livelihoods under a changing climate: the case of urban agriculture in Lusaka, Zambia","Journal of Environmental Planning and Management","1/1/12","10.1080/09640568.2011.637688"
"Teleconnected food supply shocks","Environmental Research Letters","3/1/16","10.1088/1748-9326/11/3/035007"
"Temperature Influences on Salmonella Infections across the Continental United States","Annals of the American Association of Geographers","1/1/17",NA
"The Distributional and Multi-Sectoral Impacts of Rainfall Shocks: Evidence From Computable General Equilibrium Modelling for the Awash Basin, Ethiopia","Ecological Economics","4/1/18","10.1016/j.ecolecon.2017.11.038"
"THE EFFECT OF SHOCKS: AN EMPIRICAL ANALYSIS OF ETHIOPIA","Interdisciplinary Description of Complex Systems","7/1/15","10.7906/indecs.13.3.9"
"The Effects of Hurricane Katrina on Food Access Disparities in New Orleans","American Journal of Public Health","3/1/11","10.2105/AJPH.2010.196659"
"The effects of network topology, climate variability and shocks on the evolution and resilience of a food trade network","Plos One","3/26/19","10.1371/journal.pone.0213378"
"The effects of weather, household assets, and safety-net programs on household food security in Ethiopia using rural household panel data","Regional Environmental Change","8/1/15","10.1007/s10113-014-0680-2"
"The ENSO Effect and Asymmetries in Wheat Price Dynamics","World Development","8/1/17","10.1016/j.worlddev.2017.03.031"
"The Global Food Crisis: Disaster, Opportunity or Non-event? Household Level Evidence from Cote d'Ivoire","World Development","6/1/13","10.1016/j.worlddev.2013.02.007"
"The impacts of climate variability on household welfare in rural Mexico","Population and Environment","3/1/13","10.1007/s11111-012-0167-3"
"The influence of weather conditions on dairy production","Agricultural Economics","3/1/19","10.1111/agec.12474"
"The resilience of long and short food chains: a case study of flooding in Queensland, Australia","Agriculture and Human Values","3/1/16","10.1007/s10460-015-9603-1"
"The role of storage dynamics in annual wheat prices","Environmental Research Letters","5/1/17","10.1088/1748-9326/aa678e"
"TOO LITTLE TOO LATE: WELFARE IMPACTS OF RAINFALL SHOCKS IN RURAL INDONESIA","Bulletin of Indonesian Economic Studies","1/1/12","10.1080/00074918.2012.728638"
"Understanding climate change impacts on water buffalo production through farmers' perceptions","Climate Risk Management","1/1/18","10.1016/j.crm.2018.03.003"
"Using panel data to estimate the effect of rainfall shocks on smallholders food security and vulnerability in rural Ethiopia","Climatic Change","9/1/11","10.1007/s10584-010-9994-3"
"Volatility in Cereal Prices: Intra- Versus Inter-annual Volatility","Journal of Agricultural Economics","9/1/14","10.1111/1477-9552.12073"
"Vulnerability to shocks in the global seafood trade network","Environmental Research Letters","3/1/16","10.1088/1748-9326/11/3/035008"
"Weather and international price shocks on food prices in the developing world","Global Environmental Change-Human and Policy Dimensions","11/1/15","10.1016/j.gloenvcha.2015.08.003"
"Weather extremes and household welfare in rural Kenya","Food Security","4/1/17","10.1007/s12571-016-0645-z"
"What Drives Local Food Prices? Evidence from the Tanzanian Maize Market","World Bank Economic Review","2/1/19","10.1093/wber/lhx008"
"Analyzing nutritional impacts of price and income related shocks in Malawi: Simulating household entitlements to food","Food Policy","","10.1016/j.foodpol.2015.03.007"
"The distributional effect of a large rice price increase on welfare and poverty in Bangladesh","Agricultural and Resource Economics","","10.1111/1467-8489.12141"
"The impact of food prices on the welfare of households in South Africa","South African Journal of Economic and Management Sciences","","10.4102/sajems.v21i1.1979"
"Poverty Effects of Food Price Escalation and Mitigation Options: The Case of Malaysia","Journal of Asian and African Studies","","10.1177/0021909617714275"
"The relative profitability of dairy, sheep, beef and grain farm enterprises in southeast Australia under selected rainfall and price scenarios","Agricultural Systems","5/1/13","10.1016/j.agsy.2013.01.002"
"The impact of climate change on cropland productivity: evidence from satellite based products at the river basin scale in Africa","Climatic Change",NA,"10.1007/s10584-012-0604-4"
"Crop Yield Response to Climate Variables on Dryland versus Irrigated Lands","Canadian Journal of Agricultural Economics-Revue Canadienne d Agroeconomie",NA,"10.1111/cjag.12149"
"Climatic impacts across agricultural crop yield distributions: An application of quantile regression on rice crops in Andhra Pradesh, India","Ecological Economics",NA,"10.1016/j.ecolecon.2012.11.024"
"Climate characteristics and their relationship with soybean and maize yields in Argentina, Brazil and the United States","International Journal of Climatology",NA,"10.1002/joc.4439"
"Heterogeneous Climatic Impacts on Agricultural Production: Evidence from Rice Yield in Assam, India","Asian Journal of Agriculture and Development",NA,NA
"Probabilistic estimates of drought impacts on agricultural production","Geophysical Research Letters",NA,"10.1002/2017GL073606"
"Climate trends account for stalled wheat yields in Australia since 1990","Global Change Biology",NA,"10.1111/gcb.13604"
"Frost trends and their estimated impact on yield in the Australian wheatbelt","Journal of Experimental Botany",NA,"10.1093/jxb/erv163"
"Diseases and Disorders Associated with Environmental Stress in Sustainable Olive Orchards in Australia","Xxviii International Horticultural Congress on Science and Horticulture for People (Ihc2010): Olive Trends Symposium - From the Olive Tree to Olive Oil: New Trends and Future Challenges",NA,NA
"Effects of Climate Change on the Yield and Cropping Area of Major Food Crops: A Case of Bangladesh","Sustainability",NA,"10.3390/su7010898"
"ASSESSMENT OF CLIMATE CHANGE IMPACTS ON AMAN AND BORO RICE YIELDS IN BANGLADESH","Climate Change Economics",NA,"10.1142/S2010007816500081"
"Effect of Climatic Changes on the Incidence of Disease of Winter Pulses","Climate Change and Food Security in South Asia",NA,"10.1007/978-90-481-9516-9_23"
"How Does the Variability in Aus Rice Yield Respond to Climate Variables in Bangladesh?","Journal of Agronomy and Crop Science",NA,"10.1111/jac.12011"
"Modelling climate impacts on crop yields in Belgium","Climate Research",NA,"10.3354/cr00925"
"Impact of heat and drought stress on arable crop production in Belgium","Natural Hazards and Earth System Sciences",NA,"10.5194/nhess-12-1911-2012"
"Extreme rainfall indices and its impact on rice productivity-A case study over sub-humid climatic environment","Agricultural Water Management",NA,"10.1016/j.agwat.2011.04.003"
"Influence of climate variability and length of rainy season on crop yields in semiarid Botswana","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2017.09.016"
"Climate variability, yield instability and global recession: the multi-stressor to food security in Botswana","Climate and Development",NA,"10.1080/17565529.2012.728129"
"Assessing the Impacts of ENSO-related weather effects on the Brazilian Agriculture","International Conference on Applied Economics (Icoae) 2015",NA,"10.1016/S2212-5671(15)00635-8"
"Influence of Climate Factors on Rice Yields in Cambodia","Aims Geosciences",NA,"10.3934/geosci.2017.4.561"
"Impact of prolonged rainy seasons on food crop production in Cameroon","Mitigation and Adaptation Strategies for Global Change",NA,"10.1007/s11027-010-9241-2"
"Climate variability and maize production in Cameroon: Simulating the effects of extreme dry and wet years","Singapore Journal of Tropical Geography",NA,"10.1111/j.1467-9493.2008.00344.x"
"European anchovy (Engraulis encrasicolus) landings and environmental conditions on the Catalan Coast (NW Mediterranean) during 2000-2005","Hydrobiologia",NA,"10.1007/s10750-008-9482-1"
"Environmental causes of the fluctuations of red shrimp (Aristeus antennatus) landings in the Catalan Sea","Journal of Marine Systems",NA,"10.1016/j.jmarsys.2006.09.008"
"Sensitivity of crop cover to climate variability: Insights from two Indian agro-ecoregions","Journal of Environmental Management",NA,"10.1016/j.jenvman.2014.02.026"
"Sustainability and climate variability in low-input peasant maize systems in the central Mexican highlands","Agriculture Ecosystems & Environment",NA,"10.1016/j.agee.2013.09.022"
"The relationship between extreme weather events and crop losses in central Taiwan","Theoretical and Applied Climatology",NA,"10.1007/s00704-017-2261-z"
"Heterogeneous effects of warming and drought on selected wheat variety yields","Climatic Change",NA,"10.1007/s10584-014-1185-1"
"ENSO, climate variability and crop yields in China","Climate Research",NA,"10.3354/cr01194"
"Disasters of Flood and Waterloging Impact on Agriculture","Construction and Urban Planning, Pts 1-4",NA,"10.4028/www.scientific.net/AMR.671-674.2648"
"Spatio-temporal distributions of climate disasters and the response of wheat yields in China from 1983 to 2008","Natural Hazards",NA,"10.1007/s11069-014-1197-1"
"Impacts of climate change and climate extremes on major crops productivity in China at a global warming of 1.5 and 2.0 degrees C","Earth System Dynamics",NA,"10.5194/esd-9-543-2018"
"Assessing the Impacts of Extreme Agricultural Droughts in China Under Climate and Socioeconomic Changes","Earths Future",NA,"10.1002/2017EF000768"
"How ENSO affects maize yields in China: understanding the impact mechanisms using a process-based crop model","International Journal of Climatology",NA,"10.1002/joc.4360"
"Association between Empirically Estimated Monsoon Dynamics and Other Weather Factors and Historical Tea Yields in China: Results from a Yield Response Model","Climate",NA,"10.3390/cli4020020"
"Variability in crop yields associated with climate anomalies in China over the past three decades","Regional Environmental Change",NA,"10.1007/s10113-015-0920-0"
"The impact of weather variations on maize yields and household income: Income diversification as adaptation in rural China","Global Environmental Change-Human and Policy Dimensions",NA,"10.1016/j.gloenvcha.2016.12.006"
"The impacts of increased heat stress events on wheat yield under climate change in China","Climatic Change",NA,"10.1007/s10584-016-1866-z"
"Impact of Climate on Food Security in Mainland China: A New Perspective Based on Characteristics of Major Agricultural Natural Disasters and Grain Loss","Sustainability",NA,"10.3390/su11030869"
"Effects of climate variability and change on Chinese agriculture: a review","Climate Research",NA,"10.3354/cr01038"
"The regional impacts of climate change on coastal environments and the aquaculture of Japanese scallops in northeast Asia: case studies from Dalian, China, and Funka Bay, Japan","International Journal of Remote Sensing",NA,"10.1080/01431161.2014.916435"
"Spatio-temporal variations of the catch per unit effort in the coastal small-scale fishery of snapper Lutjanus synagris, of the Colombian Caribbean and their relationship with environmental variables","Revista De Biologia Marina y Oceanografia",NA,NA
"Yield response to climate, management, and genotype: a large-scale observational analysis to identify climate-adaptive crop management practices in high-input maize systems","Environmental Research Letters",NA,"10.1088/1748-9326/aae7a8"
"Climate Variability and the US Corn Belt: ENSO and AO Episode-Dependent Hydroclimatic Feedbacks to Corn Production at Regional and Local Scales","Earth Interactions",NA,"10.1175/EI-D-14-0031.1"
"Socioeconomic valuation of the impact of climate variability on artisanal fisheries in Costa Rica","Uniciencia",NA,"10.15359/ru.32-1.2"
"Water balance, drought stress and yields for rainfed field crop rotations under present and future conditions in the Czech Republic","Climate Research",NA,"10.3354/cr01339"
"The impacts of key adverse weather events on the field-grown vegetable yield variability in the Czech Republic from 1961 to 2014","International Journal of Climatology",NA,"10.1002/joc.4807"
"Fish stock losses due to extreme floods - findings from pond-based aquaculture in the Czech Republic","Journal of Flood Risk Management",NA,"10.1111/jfr3.12332"
"Oyster mortality in Delaware Bay: Impacts and recovery from Hurricane Irene and Tropical Storm Lee","Estuarine Coastal and Shelf Science",NA,"10.1016/j.ecss.2013.10.011"
"The impact of climate change on the winegrape vineyards of the Portuguese Douro region","Climatic Change",NA,"10.1007/s10584-016-1719-9"
"On The Impact of Climate Change to Agricultural Productivity in East Java","2nd International Conference on Science (Icos)",NA,"10.1088/1742-6596/979/1/012092"
"Climate Change, High-Temperature Stress, Rice Productivity, and Water Use in Eastern China: A New Superensemble-Based Probabilistic Projection","Journal of Applied Meteorology and Climatology",NA,"10.1175/JAMC-D-12-0100.1"
"Climate variability and rainfed maize production in the eastern Ivory Coast","Hydrological Sciences Journal-Journal Des Sciences Hydrologiques",NA,"10.1080/02626667.2010.545247"
"Harmfulness of weather events and the adaptive capacity of farmers at high latitudes of Europe","Climate Research",NA,"10.3354/cr01378"
"Regional and global climate projections increase mid-century yield variability and crop productivity in Belgium","Regional Environmental Change",NA,"10.1007/s10113-015-0773-6"
"Key weather extremes affecting potato production in The Netherlands","European Journal of Agronomy",NA,"10.1016/j.eja.2011.09.002"
"Impact of meteorological drivers on regional inter-annual crop yield variability in France","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2015.10.004"
"Impacts of extreme weather on wheat and maize in France: evaluating regional crop simulations against observed data","Climatic Change",NA,"10.1007/s10584-011-0368-2"
"On the influence of environmental factors on harvest: the French Guiana shrimp fishery paradox","Environmental Economics and Policy Studies",NA,"10.1007/s10018-016-0153-6"
"Sensitivity of the agroecosystem in the Ganges basin to inter-annual rainfall variability and associated changes in land use","International Journal of Climatology",NA,"10.1002/joc.3894"
"How much did extreme weather events impact wheat yields in Germany? - A regionally differentiated analysis on the farm level","Agriculture and Climate Change - Adapting Crops to Increased Uncertainty (Agri 2015)",NA,"10.1016/j.proenv.2015.07.197"
"How do inputs and weather drive wheat yield volatility? The example of Germany","Food Policy",NA,"10.1016/j.foodpol.2017.05.001"
"Simulation of the effect of rainfall on farm-level cocoa yield using a delayed differential equation model","Scientia Horticulturae",NA,"10.1016/j.scienta.2019.04.016"
"The Nexus of Weather Extremes to Agriculture Production Indexes and the Future Risk in Ghana","Climate",NA,"10.3390/cli6040086"
"Climate effects on historic bluefin tuna captures in the Gibraltar Strait and Western Mediterranean","Journal of Marine Systems",NA,"10.1016/j.jmarsys.2016.02.002"
"Climate variation explains a third of global crop yield variability","Nature Communications",NA,"10.1038/ncomms6989"
"Influence of extreme weather disasters on global crop production","Nature",NA,"10.1038/nature16467"
"Vulnerabilities to agricultural production shocks: An extreme, plausible scenario for assessment of risk for the insurance sector","Climate Risk Management",NA,"10.1016/j.crm.2016.05.001"
"Interactions between temperature and drought in global and regional crop yield variability during 1961-2014","Plos One",NA,"10.1371/journal.pone.0178339"
"Understanding the weather signal in national crop-yield variability","Earths Future",NA,"10.1002/2016EF000525"
"Future warming increases probability of globally synchronized maize production shocks","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1718031115"
"Global Patterns of Crop Production Losses Associated with Droughts from 1983 to 2009","Journal of Applied Meteorology and Climatology",NA,"10.1175/JAMC-D-18-0174.1"
"Synchronized failure of global crop production","Nature Ecology & Evolution",NA,"10.1038/s41559-019-0862-x"
"The effects of climate extremes on global agricultural yields","Environmental Research Letters",NA,"10.1088/1748-9326/ab154b"
"The El Nino impact on maize yields is amplified in lower income teleconnected countries","Environmental Research Letters",NA,"10.1088/1748-9326/ab0cd0"
"Evidence for a climate signal in trends of global crop yield variability over the past 50 years","Environmental Research Letters",NA,"10.1088/1748-9326/8/2/024001"
"Spatial heterogeneity stabilizes livestock productivity in a changing climate","Agriculture Ecosystems & Environment",NA,"10.1016/j.agee.2014.04.020"
"Agricultural losses related to frost events: use of the 850 hPa level temperature as an explanatory variable of the damage cost","Natural Hazards and Earth System Sciences",NA,"10.5194/nhess-14-2375-2014"
"Large-scale climatic effects on traditional Hawaiian fishpond aquaculture","Plos One",NA,"10.1371/journal.pone.0187951"
"Impact of chilling injury and global warming on rice yield in Heilongjiang Province","Journal of Geographical Sciences",NA,"10.1007/s11442-013-0995-9"
"Separating out the influence of climatic trend, fluctuations, and extreme events on crop yield: a case study in Hunan Province, China","Climate Dynamics",NA,"10.1007/s00382-017-3831-6"
"EFFECT OF DROUGHTY CLIMATIC CONDITIONS ON THE FORMATION OF QUALITY PARAMETERS OF WINTER WHEAT FLOUR","Cereal Research Communications",NA,NA
"Effect of Climate Variability and Climate Change on Crop Production in Tropical Wet-and Dry Climate","Italian Journal of Agrometeorology-Rivista Italiana Di Agrometeorologia",NA,NA
"El Nino influence on potential maize yield in Iberian Peninsula","International Journal of Climatology",NA,"10.1002/joc.4426"
"SENSITIVITY OF CORN AND SOYBEAN YIELD IN ILLINOIS TO AIR TEMPERATURE AND PRECIPITATION: THE POTENTIAL IMPACT OF FUTURE CLIMATE CHANGE","Physical Geography",NA,"10.2747/0272-3646.30.1.27"
"Climate Change and Livestock Production in India: Effects and Mitigation Strategies","Indian Journal of Economics and Development",NA,"10.5958/2322-0430.2016.00197.9"
"Crop diversification and resilience of agriculture to climatic shocks: Evidence from India","Agricultural Systems",NA,"10.1016/j.agsy.2019.03.005"
"Sensitivity of grain yields to historical climate variability in India","Environmental Research Letters",NA,"10.1088/1748-9326/ab22db"
"Environmental variations on swordfish (Xiphias gladius) catch rates in the Indian Ocean","Fisheries Research",NA,"10.1016/j.fishres.2014.08.010"
"El Nino Southern Oscillation (ENSO) impact on tuna fisheries in Indian Ocean","Springerplus",NA,"10.1186/2193-1801-3-591"
"The effect of temperature rise to rice crop yield in Indonesia uses Shierary Rice model with geographical information system (GIS) feature","2nd International Symposium on Lapan-Ipb Satellite (Lisat) for Food Security and Environmental Monitoring",NA,"10.1016/j.proenv.2016.03.072"
"Early heat waves over Italy and their impacts on durum wheat yields","Natural Hazards and Earth System Sciences",NA,"10.5194/nhess-15-1631-2015"
"Quality Matters More Than Quantity: Asymmetric Temperature Effects on Crop Yield and Quality Grade","American Journal of Agricultural Economics",NA,"10.1093/ajae/aaw036"
"Environmental Conditions Associated with Stripe Rust in Kansas Winter Wheat","Plant Disease",NA,"10.1094/PDIS-11-15-1321-RE"
"Weather extremes and plantation crops in the humid tropics","Mausam",NA,NA
"Impacts of Climate Variability on Latin American Small-scale Fisheries","Ecology and Society",NA,"10.5751/ES-05971-180430"
"FACTORS AFFECTING WHEAT BREAD PRICES","Economic Science for Rural Development: Production and Cooperation in Agriculture / Finance and Taxes",NA,NA
"Differential impacts of climate variability on yields of rainfed barley and legumes in semi-arid Mediterranean conditions","Archives of Agronomy and Soil Science",NA,"10.1080/03650340.2013.766322"
"Multispecies Fisheries in the Lower Amazon River and Its Relationship with the Regional and Global Climate Variability","Plos One",NA,"10.1371/journal.pone.0157050"
"Climatic Shock Characterization and Their Effects on Livestock Production in Rural Malawi","Journal of Animal and Veterinary Advances",NA,NA
"Impact of climate change on food security in Malaysia: economic and policy adjustments for rice industry","Journal of Integrative Environmental Sciences",NA,"10.1080/1943815X.2015.1112292"
"Climate Variability and Socioeconomic Vulnerability of Aquaculture Farmers in Malaysia","Business and Economics Research (Icber 2011)",NA,NA
"Climate change impacts on hard red spring wheat yield and production risk: evidence from Manitoba, Canada","Canadian Journal of Plant Science",NA,"10.1139/cjps-2017-0135"
"Assessing indicators of agricultural drought impacts on spring wheat yield and quality on the Canadian prairies","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2010.01.001"
"Effect of climate change and use of improved varieties on barley and canola yield in Manitoba","Canadian Journal of Plant Science",NA,"10.4141/CJPS-2014-221"
"Cropping frequency and area response to climate variability can exceed yield response","Nature Climate Change",NA,"10.1038/NCLIMATE2934"
"Gauging the impact of climate change on food crops production in Mauritius An econometric approach","International Journal of Climate Change Strategies and Management",NA,"10.1108/IJCCSM-12-2012-0079"
"Impact of NAO on Mediterranean Fisheries","Hydrological, Socioeconomic and Ecological Impacts of the North Atlantic Oscillation in the Mediterranean Region",NA,"10.1007/978-94-007-1372-7_7"
"Impact of climate change in Mediterranean aquaculture","Reviews in Aquaculture",NA,"10.1111/j.1753-5131.2012.01071.x"
"The impact of climate change on barley yield in the Mediterranean basin","European Journal of Agronomy",NA,"10.1016/j.eja.2019.03.002"
"The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta","Environmental Change and Agricultural Sustainability in the Mekong Delta",NA,"10.1007/978-94-007-0934-8_24"
"Vulnerability of specialty crops to short-term climatic variability and adaptation strategies in the Midwestern USA","Climatic Change",NA,"10.1007/s10584-017-2066-1"
"Estimation of the effects of climate variability on crop yield in the Midwest USA","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2015.10.001"
"Climate factors driving wine production in the Portuguese Minho region","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2013.11.003"
"Heat in the Heartland: Crop Yield and Coverage Response to Climate Change Along the Mississippi River","Environmental & Resource Economics",NA,"10.1007/s10640-018-0271-7"
"The relationship between Sardinella aurita landings and the environmental factors in Moroccan waters (21 degrees-26 degrees N)","Cybium",NA,"10.26028/cybium/2019-431-005"
"Climatic gradients along the windward slopes of Mount Kenya and their implication for crop risks. Part 2: crop sensitivity","International Journal of Climatology",NA,"10.1002/joc.4394"
"MAIZE RESPONSE TO YIELD AND YIELD TRAITS WITH DIFFERENT NITROGEN AND DENSITY UNDER CLIMATE VARIABILITY","Journal of Plant Nutrition",NA,"10.1080/01904167.2012.733050"
"Short-term cropland responses to temperature extreme events during late winter","Biogeosciences",NA,"10.5194/bg-10-5545-2013"
